stage,detector,diagram,detected,gt,tp,fp,fn,precision,recall,f1,runtime_seconds,note,by_label_p,by_label_r,by_label_f1,presence_p,presence_r,presence_f1
icon,hsv,search_interview_test.png,19,2,,,,,,,0.003,,0.0,0.0,0.0,0.105,1.0,0.19
icon,template_matching,diagram_01.png,0,0,,,,,,,0.204,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_02.png,0,0,,,,,,,0.207,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_03.png,0,0,,,,,,,0.185,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_04.png,0,0,,,,,,,0.165,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_05.png,0,0,,,,,,,0.184,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_06.png,0,0,,,,,,,0.179,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_07.png,0,0,,,,,,,0.153,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_08.png,0,0,,,,,,,0.149,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_09.png,0,0,,,,,,,0.147,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_10.png,0,0,,,,,,,0.187,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_11.png,0,0,,,,,,,0.234,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_12.png,0,0,,,,,,,0.164,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_13.png,0,0,,,,,,,0.19,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,diagram_14.png,0,0,,,,,,,0.191,,0.0,0.0,0.0,0.0,0.0,0.0
icon,template_matching,search_interview_test.png,2,2,,,,,,,0.11,,1.0,1.0,1.0,1.0,1.0,1.0
icon,clip_zero_shot,diagram_01.png,0,0,,,,,,,9.963,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_02.png,0,0,,,,,,,0.011,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_03.png,0,0,,,,,,,0.011,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_04.png,0,0,,,,,,,0.008,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_05.png,0,0,,,,,,,0.009,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_06.png,0,0,,,,,,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_07.png,0,0,,,,,,,0.007,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_08.png,0,0,,,,,,,0.009,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_09.png,0,0,,,,,,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_10.png,0,0,,,,,,,0.011,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_11.png,0,0,,,,,,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_12.png,0,0,,,,,,,0.008,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_13.png,0,0,,,,,,,0.009,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,diagram_14.png,0,0,,,,,,,0.009,,0.0,0.0,0.0,0.0,0.0,0.0
icon,clip_zero_shot,search_interview_test.png,18,2,,,,,,,0.612,,0.5,1.0,0.667,0.111,1.0,0.2
